,companyName,applyUrl,experienceLevel,location,min_years_of_experience,required_degree,remote_work,avg_hourly_salary,avg_yearly_salary,simplified_job_title
79,PCS Global Tech,https://www.linkedin.com/jobs/view/data-analyst-at-pcs-global-tech-4098092221?trk=public_jobs_topcard-title,Internship,"Texas, United States",,BS,,,65000.0,Data Analyst
105,Benda Infotech,https://www.linkedin.com/jobs/view/full-time-for-data-analyst-at-benda-infotech-4094500754?trk=public_jobs_topcard-title,Entry level,"Texas, United States",,,,,92500.0,Data Analyst
1319,Understanding Recruitment,https://www.linkedin.com/jobs/view/lead-data-scientist-hybrid-at-understanding-recruitment-4096859894?trk=public_jobs_topcard-title,Mid-Senior level,"Texas, United States",5.0,MS,,,,Data Scientist
