,cleaned_required_skills,simplified_job_title,count
857,gitlab,Data Analyst,1
858,google analytics,Data Analyst,7
859,google analytics,Data Scientist,1
860,google big query,Business Intelligence,1
861,google cloud,Data Scientist,2
862,google cloud platform,Data Analyst,1
863,google cloud platform,Data Scientist,1
864,google looker,Data Analyst,1
865,google script,Data Analyst,1
866,google sheet,Data Analyst,5
867,google suite,Data Analyst,1
868,gosu programming,Data Analyst,1
869,governance,Data Scientist,1
870,gps,Data Analyst,1
871,gpt,Data Scientist,3
872,gpu computing,Data Scientist,1
873,gpu programming,Data Scientist,1
874,gradient boosting algorithm,Data Scientist,1
875,gradient descent,Data Scientist,1
876,grafana,Data Analyst,1
877,graphbased algorithm,Data Scientist,1
878,graphing,Data Analyst,1
879,groovy,Data Scientist,1
880,growth,Data Scientist,1
881,growth analytics,Data Analyst,1
882,growth domain,Data Scientist,1
883,growth marketing,Data Scientist,1
884,growth strategy,Data Scientist,1
885,gtm,Data Analyst,1
886,guidewire,Data Analyst,1
887,gxp,Data Analyst,1
888,hadoop,Business Intelligence,1
889,hadoop,Data Analyst,2
890,hadoop,Data Scientist,13
891,hashboard,Data Analyst,1
892,hcp data,Data Scientist,1
893,health,Data Scientist,1
894,health economics,Data Scientist,1
895,health informatics,Data Analyst,1
896,healthcare,Data Analyst,3
897,healthcare,Data Scientist,1
898,healthcare analytics,Data Analyst,1
899,healthcare analytics,Data Scientist,1
900,healthcare claim,Data Analyst,1
901,healthcare coding,Data Analyst,1
902,healthcare data,Business Intelligence,1
903,healthcare data,Data Analyst,3
904,healthcare datasets,Data Scientist,1
905,high performance,Intern,1
906,hive,Data Scientist,7
907,hr analytics,Data Analyst,1
908,hr data,Data Analyst,1
909,hr data management,Data Analyst,1
910,hr principle,Data Analyst,1
911,hr process,Data Analyst,1
912,hris,Data Analyst,1
913,hris system,Data Analyst,1
914,html,Data Analyst,2
915,html,Data Scientist,1
916,huggingface,Data Scientist,1
917,human evaluation,Data Scientist,1
918,human resource,Data Scientist,1
919,hyper api,Data Scientist,1
920,hyperparameter optimization,Data Scientist,1
921,hyperparameter tuning,Data Scientist,1
922,hypothesis testing,Data Scientist,1
923,hypothesis testing,Intern,1
924,iam role,Data Scientist,1
925,image experience,Data Scientist,2
926,image processing,Data Analyst,1
927,image processing,Data Scientist,1
928,independence,Data Analyst,1
929,independent work,Data Analyst,2
930,industry knowledge,Data Scientist,1
931,inference,Data Scientist,1
932,influencing,Data Analyst,1
933,informatica,Business Intelligence,1
934,information retrieval,Data Scientist,1
935,information system,Data Analyst,1
936,infrastructure,Data Scientist,1
937,infrastructure planning,Data Scientist,1
938,infrastructure provisioning,Intern,1
939,initiative,Data Analyst,1
940,initiative,Data Scientist,1
941,insight,Data Analyst,1
942,insight generation,Data Analyst,1
943,insurance claim,Data Scientist,1
944,integration,Intern,1
945,integration testing,Data Scientist,1
946,integrity,Intern,1
947,intercultural communication,Data Analyst,1
948,intermediate sql,Data Scientist,1
949,interpersonal skill,Business Intelligence,1
950,interpersonal skill,Data Analyst,11
951,interpersonal skill,Data Scientist,3
952,interpersonal skill,Intern,1
953,interpretable ml,Data Scientist,1
954,interpretation,Intern,1
955,inventory management,Business Intelligence,1
956,investigative data,Data Analyst,1
957,investigative experience,Data Analyst,1
958,issue resolution,Data Analyst,1
959,itil,Data Analyst,2
960,iwork suite,Data Analyst,2
961,java,Data Analyst,2
962,java,Data Scientist,11
963,java script,Data Scientist,1
964,javascript,Data Analyst,2
965,javascript,Data Scientist,2
966,jira,Data Analyst,4
967,jql,Data Analyst,1
968,json,Data Scientist,1
969,julia,Data Scientist,1
970,jupyter notebook,Data Scientist,1
971,kafka,Data Scientist,1
972,kanban,Data Analyst,1
973,kera,Data Scientist,2
974,kibana,Data Analyst,2
975,kpi,Data Analyst,1
976,kpi,Data Scientist,1
977,kpi calculation,Data Analyst,1
978,kpi creation,Data Scientist,1
979,kpi development,Data Scientist,1
980,kpi scorecard,Business Intelligence,1
981,kpi tracking,Data Analyst,1
982,kql,Data Scientist,1
983,kubeflow,Data Scientist,1
984,kubernetes,Data Analyst,1
985,kubernetes,Data Scientist,2
986,kyc,Data Analyst,1
987,laboratory procedure,Data Analyst,1
988,langchain,Data Scientist,2
989,language semantic concept,Data Scientist,1
990,large data set,Data Analyst,1
991,large data set,Data Scientist,1
992,large datasets,Data Scientist,2
993,large language model,Data Scientist,3
994,larger data processing,Data Analyst,1
995,largescale data analysis,Data Analyst,2
996,leadership,Business Intelligence,1
997,leadership,Data Analyst,8
998,leadership,Data Scientist,2
999,leadership,Intern,1
1000,learning,Data Scientist,1
1001,legal document review,Data Analyst,1
1002,lidar,Data Analyst,1
1003,lifelong learner,Data Analyst,1
1004,lifetime value model,Data Scientist,1
1005,lims,Data Analyst,1
1006,linear algebra,Data Analyst,1
1007,linear algebra,Data Scientist,1
1008,linear optimization,Data Scientist,1
1009,linear regression,Data Scientist,1
1010,linked data,Data Analyst,1
1011,linux,Data Analyst,4
1012,linux,Data Scientist,5
1013,literature review,Data Analyst,1
1014,llama,Data Scientist,1
1015,llm,Data Scientist,9
1016,llm design,Data Scientist,1
1017,logistic regression,Data Scientist,1
1018,logistics,Data Analyst,1
1019,logistics coordination,Data Analyst,2
1020,looker,Business Intelligence,1
1021,looker,Data Analyst,8
1022,looker,Data Scientist,6
1023,looker dashboard,Data Analyst,1
1024,m access,Data Analyst,1
1025,m excel,Data Analyst,4
1026,m excel,Data Scientist,1
1027,m form,Data Analyst,1
1028,m office,Business Intelligence,2
1029,m office,Data Analyst,3
1030,m office,Intern,1
1031,m office suite,Business Intelligence,1
1032,m powerbi,Data Analyst,1
1033,m sql,Data Analyst,1
1034,m sql server,Data Analyst,2
1035,machine learning,Business Intelligence,2
1036,machine learning,Data Analyst,15
1037,machine learning,Data Scientist,198
1038,machine learning,Intern,5
1039,machine learning technique,Data Scientist,1
1040,machinelearning,Data Scientist,1
1041,macro,Data Analyst,2
1042,management,Data Analyst,1
1043,manufacturing,Business Intelligence,1
1044,manufacturing operation,Data Scientist,1
1045,map api,Business Intelligence,1
1046,market analysis,Data Analyst,1
1047,market data knowledge,Data Analyst,1
1048,market dynamic,Data Analyst,1
1049,market research,Data Analyst,2
1050,market research,Data Scientist,1
1051,marketing,Business Intelligence,1
1052,marketing,Data Analyst,1
1053,marketing,Data Scientist,2
1054,marketing analysis,Data Scientist,2
1055,marketing analytics,Data Analyst,3
1056,marketing analytics,Data Scientist,4
1057,marketing automation,Data Analyst,1
1058,marketing campaign,Data Scientist,1
1059,marketing data,Data Analyst,1
1060,marketing method,Data Scientist,1
1061,marketing metric,Data Scientist,1
1062,marketing mix model,Data Analyst,1
1063,marketing operation,Data Analyst,1
1064,marketing science,Data Analyst,1
1065,marketing science,Data Scientist,1
1066,marketingspecific data science,Data Scientist,1
1067,marketplace experimentation,Data Scientist,1
1068,markovchain modelling,Data Scientist,1
1069,master data,Data Analyst,1
1070,math,Data Analyst,1
1071,math skill,Data Analyst,1
1072,mathematical,Data Scientist,1
1073,mathematical concept,Data Scientist,1
1074,mathematical modeling,Data Analyst,3
1075,mathematical programming,Data Scientist,1
1076,mathematical skill,Data Scientist,1
1077,mathematical technique,Data Scientist,1
1078,mathematics,Data Analyst,2
1079,mathematics,Data Scientist,8
1080,mathematics,Intern,2
1081,matlab,Data Scientist,4
1082,matplotlib,Data Analyst,1
1083,matplotlib,Data Scientist,1
1084,maximo software,Data Analyst,1
1085,measurement technique,Data Scientist,1
1086,medical claim,Data Analyst,1
1087,medical coding,Data Analyst,1
1088,medical industry,Data Scientist,1
1089,medium measurement methodology,Data Scientist,1
1090,medium mix modeling,Data Scientist,1
1091,mentoring,Business Intelligence,2
1092,mentoring,Data Scientist,4
1093,mentorship,Data Analyst,1
1094,mentorship,Data Scientist,5
1095,merchandising,Intern,1
1096,metadata creation,Data Analyst,1
1097,metadata management,Data Analyst,1
1098,meteorological data,Data Scientist,1
1099,method development,Data Scientist,1
1100,metric,Data Analyst,1
1101,metric,Data Scientist,1
1102,metric database,Data Scientist,1
1103,metric design,Data Scientist,1
1104,metric preparation,Business Intelligence,1
1105,microsoft application,Data Analyst,2
1106,microsoft azure,Data Analyst,1
1107,microsoft azure,Data Scientist,1
1108,microsoft excel,Business Intelligence,5
1109,microsoft excel,Data Analyst,19
1110,microsoft excel,Intern,2
1111,microsoft office,Data Analyst,20
1112,microsoft office,Data Scientist,1
1113,microsoft office,Intern,2
1114,microsoft office suite,Data Analyst,1
1115,microsoft office suite,Data Scientist,1
1116,microsoft power apps,Data Analyst,1
1117,microsoft power bi,Business Intelligence,1
1118,microsoft power bi,Data Analyst,3
1119,microsoft power bi,Data Scientist,3
1120,microsoft power bi,Intern,1
1121,microsoft powerpoint,Intern,1
1122,microsoft sharepoint,Data Analyst,2
1123,microsoft sql,Business Intelligence,1
1124,microsoft sql server,Data Analyst,1
1125,microsoft suite,Data Analyst,1
1126,microsoft technology,Business Intelligence,1
1127,microsoft tool,Intern,2
1128,microsoft word,Data Analyst,1
1129,microstrategy,Data Analyst,1
1130,minimal supervision,Data Analyst,1
1131,mining cleansing,Data Analyst,1
1132,minitab,Data Analyst,1
1133,mistral,Data Scientist,1
1134,ml,Data Scientist,7
1135,ml,Intern,1
1136,ml algorithm,Data Scientist,2
1137,ml framework,Data Scientist,4
1138,ml model,Data Analyst,1
1139,ml model,Data Scientist,1
1140,ml paradigm,Data Scientist,1
1141,ml pipeline,Data Scientist,1
1142,ml solution,Data Scientist,1
1143,ml tool,Data Scientist,1
1144,mldl,Data Scientist,1
1145,mlflow,Data Scientist,4
1146,mlframeworks,Data Scientist,1
1147,mlops,Data Scientist,9
1148,model,Data Scientist,1
1149,model building,Data Scientist,1
1150,model compression,Data Scientist,1
1151,model deployment,Data Scientist,1
1152,model development,Data Scientist,3
1153,model evaluation,Data Scientist,2
1154,model quality evaluation,Data Analyst,1
1155,modeling,Data Analyst,1
1156,modeling,Data Scientist,11
1157,modeling experience,Data Analyst,1
1158,modern data science tool,Data Scientist,1
1159,molecular biology,Data Analyst,1
1160,mongodb,Data Analyst,1
1161,mongodb,Data Scientist,2
1162,mri,Data Analyst,1
1163,mssql,Business Intelligence,1
1164,mssql,Intern,1
1165,multiarmed bandit,Data Scientist,1
1166,multifunctional team,Data Analyst,1
1167,multimodal model,Data Scientist,1
1168,multitasking,Data Analyst,5
1169,multitouch attribution,Data Analyst,1
1170,multivariate testing,Data Analyst,1
1171,mysql,Business Intelligence,1
1172,mysql,Data Analyst,1
1173,mysql,Data Scientist,1
1174,natural language processing,Data Scientist,9
1175,navy c system,Data Analyst,1
1176,nc,Data Analyst,1
1177,ner,Data Scientist,2
1178,net,Business Intelligence,1
1179,network analysis,Data Scientist,1
1180,network automation,Data Analyst,1
1181,neural network,Data Scientist,5
1182,neuroimaging analysis,Data Analyst,1
1183,nlg,Data Scientist,1
1184,nlp,Data Analyst,1
1185,nlp,Data Scientist,36
1186,nlp model,Data Scientist,1
1187,nlp system,Data Scientist,1
1188,nlp technique,Data Scientist,1
1189,nlu,Data Scientist,1
1190,nosql,Data Analyst,2
1191,nosql,Data Scientist,3
1192,numerical optimization,Data Scientist,1
1193,numpy,Data Scientist,2
1194,object detection,Data Scientist,5
1195,observational research,Data Scientist,1
1196,ocr computer vision,Data Scientist,1
1197,omni,Data Analyst,1
1198,oncology,Data Analyst,1
1199,online medium,Data Scientist,1
1200,open cv,Data Scientist,1
1201,open science,Data Scientist,1
1202,open source,Data Scientist,1
1203,openai,Data Scientist,1
1204,opensource,Data Scientist,2
1205,operation,Data Analyst,1
1206,operation experience,Data Analyst,1
1207,operation research,Data Scientist,1
1208,operational analysis,Business Intelligence,1
1209,operational tool,Data Analyst,1
1210,optimization,Data Scientist,17
1211,optimization algorithm,Data Scientist,1
1212,optimization model,Data Scientist,2
1213,oracle,Business Intelligence,1
1214,oracle,Data Analyst,3
1215,oracle bi,Data Analyst,2
1216,oracle eb,Data Analyst,1
1217,oracle plsql,Data Analyst,1
1218,oracle sql,Data Analyst,2
1219,oral communication,Data Scientist,1
1220,orchestration,Data Scientist,1
1221,organization,Business Intelligence,1
1222,organization,Data Analyst,5
1223,organizational,Intern,1
1224,organizational ability,Data Analyst,1
1225,organizational behavior,Data Analyst,1
1226,organizational behavior,Data Scientist,1
1227,organizational change,Data Analyst,1
1228,organizational skill,Business Intelligence,3
1229,organizational skill,Data Analyst,13
1230,organizational skill,Data Scientist,2
1231,organizational skill,Intern,1
1232,organizing,Business Intelligence,1
1233,outlook,Data Analyst,1
1234,paid acquisition,Data Analyst,1
1235,panda,Data Analyst,1
1236,panda,Data Scientist,9
1237,payment analytics,Data Scientist,1
1238,payroll,Data Analyst,1
1239,payroll knowledge,Data Analyst,1
1240,people analytics,Data Analyst,1
1241,performance,Data Analyst,1
1242,performance evaluation,Data Scientist,1
1243,performance marketing,Data Scientist,1
1244,performance measurement,Data Scientist,1
1245,performance monitoring,Data Analyst,1
1246,performance monitoring,Data Scientist,1
1247,perl,Data Analyst,1
1248,personalization,Data Scientist,2
1249,pharmaceutical manufacturing,Data Scientist,1
1250,pipeline management,Business Intelligence,1
1251,pki,Data Analyst,1
1252,planning,Data Analyst,2
1253,plsql,Business Intelligence,1
1254,plsql,Data Analyst,1
1255,policy expertise,Data Analyst,1
1256,policy standard,Data Analyst,1
1257,portfolio management,Business Intelligence,1
1258,positive attitude,Intern,1
1259,post gresql,Data Analyst,1
1260,postgres,Data Scientist,1
1261,postgres,Intern,1
1262,postgresql,Business Intelligence,1
1263,postgresql,Data Analyst,1
1264,postgresql,Data Scientist,2
1265,power automate,Data Analyst,4
1266,power bi,Business Intelligence,19
1267,power bi,Data Analyst,48
1268,power bi,Data Scientist,7
1269,power bi,Intern,2
1270,power data,Data Scientist,1
1271,power platform,Data Analyst,2
1272,power query,Business Intelligence,1
1273,power query,Data Analyst,3
1274,power system engineering,Data Scientist,1
1275,power usage,Data Analyst,1
1276,powerbi,Business Intelligence,3
1277,powerbi,Data Analyst,8
1278,powerbi,Data Scientist,4
1279,powerbi,Intern,2
1280,powerpivot,Data Analyst,1
1281,powerpoint,Data Analyst,8
1282,powerpoint,Data Scientist,1
1283,powerpoint,Intern,1
1284,powerpoint presentation,Data Analyst,1
1285,powerquery,Data Analyst,1
1286,powershell,Data Analyst,2
1287,pqms,Data Analyst,1
1288,prediction algorithm,Data Scientist,1
1289,predictive analysis,Data Analyst,2
1290,predictive analysis,Data Scientist,1
1291,predictive analytics,Data Analyst,3
1292,predictive analytics,Data Scientist,4
1293,predictive analytics,Intern,1
1294,predictive model,Business Intelligence,1
1295,predictive model,Data Scientist,4
1296,predictive model,Intern,2
1297,predictive modeling,Data Analyst,4
1298,predictive modeling,Data Scientist,22
1299,predictive modelling,Data Analyst,2
1300,predictive modelling,Data Scientist,3
1301,predictive solution,Data Scientist,1
1302,prescriptive analytics,Data Scientist,1
1303,presentation,Data Analyst,5
1304,presentation,Data Scientist,3
1305,presentation,Intern,1
1306,presentation development,Data Scientist,1
1307,presentation preparation,Intern,1
1308,presentation skill,Data Analyst,6
1309,presentation skill,Data Scientist,1
1310,presentation skill,Intern,2
1311,presenting,Data Analyst,1
1312,presenting report,Data Scientist,1
1313,pressure,Data Analyst,1
1314,pressure management,Data Analyst,1
1315,pretrained model,Data Scientist,1
1316,price elasticity,Data Scientist,1
1317,price setting,Data Analyst,1
1318,pricing,Data Scientist,1
1319,pricing analysis,Data Scientist,1
1320,pricing model,Data Analyst,1
1321,pricing model,Data Scientist,3
1322,pricing strategy,Data Analyst,2
1323,prioritization,Data Scientist,1
1324,prioritizing,Data Analyst,1
1325,proactive,Data Analyst,1
1326,proactive mentality,Business Intelligence,1
1327,probability,Data Scientist,1
1328,probability statistical analysis,Data Scientist,1
1329,probability theory,Data Analyst,1
1330,problem solving,Business Intelligence,5
1331,problem solving,Data Analyst,26
1332,problem solving,Data Scientist,8
1333,problemsolving,Business Intelligence,7
1334,problemsolving,Data Analyst,45
1335,problemsolving,Data Scientist,30
1336,problemsolving,Intern,5
1337,problemsolving skill,Data Analyst,1
1338,problemsolving skill,Data Scientist,1
1339,problemsolving skill,Intern,1
1340,process automation,Data Analyst,1
1341,process automation,Data Scientist,1
1342,process certification,Data Analyst,1
1343,process control,Data Analyst,1
1344,process improvement,Business Intelligence,2
1345,process improvement,Data Analyst,6
1346,process improvement,Data Scientist,2
1347,process management,Data Scientist,1
1348,process optimization,Business Intelligence,1
1349,process optimization,Data Analyst,1
1350,process redesign,Data Analyst,1
1351,procurement,Data Analyst,2
1352,procurement knowledge,Intern,1
1353,product analytics,Data Analyst,4
1354,product analytics,Data Scientist,2
1355,product management,Data Analyst,2
1356,product management,Intern,1
1357,product master data,Data Analyst,1
1358,product strategy,Data Scientist,2
1359,product trend,Data Scientist,1
1360,product usage,Data Scientist,1
1361,production code,Data Scientist,1
1362,production system,Data Scientist,1
1363,productivity analytics,Data Analyst,1
1364,productled growth,Data Analyst,1
1365,proficient llm,Data Scientist,1
1366,programming,Business Intelligence,2
1367,programming,Data Analyst,15
1368,programming,Data Scientist,35
1369,programming,Intern,1
1370,programming language,Data Analyst,4
1371,programming language,Data Scientist,6
1372,programming python,Data Scientist,1
1373,project,Business Intelligence,1
1374,project coordination,Data Scientist,1
1375,project management,Business Intelligence,3
1376,project management,Data Analyst,38
1377,project management,Data Scientist,18
1378,project management,Intern,1
1379,project management methodology,Data Analyst,1
1380,project management tool,Data Analyst,1
1381,project planning,Data Analyst,1
1382,project prioritization,Data Analyst,1
1383,prompt engineering,Data Scientist,4
1384,proposal management,Business Intelligence,1
1385,proteomics,Data Scientist,1
1386,prototype,Data Scientist,1
1387,prototyping,Data Scientist,1
1388,public cloud platform,Data Scientist,1
1389,public health,Data Scientist,1
1390,public health data,Data Analyst,1
1391,pyspark,Data Analyst,3
1392,pyspark,Data Scientist,11
1393,pyspark,Intern,1
1394,python,Business Intelligence,12
1395,python,Data Analyst,119
1396,python,Data Scientist,233
1397,python,Intern,9
1398,python etl,Data Analyst,1
1399,python mastery,Data Scientist,1
1400,python programming,Data Scientist,3
1401,python programming,Intern,1
1402,pythonr,Data Analyst,1
1403,pytorch,Data Scientist,13
1404,qa,Data Analyst,1
1405,qatesting,Data Analyst,1
1406,qlik,Data Analyst,2
1407,qlik,Data Scientist,1
1408,qlik sense,Business Intelligence,2
1409,qlik sense,Data Analyst,1
1410,qlikview,Business Intelligence,2
1411,qlikview,Data Analyst,1
1412,qualitative analysis,Data Analyst,2
1413,qualitative analysis,Data Scientist,1
1414,qualitative research,Data Scientist,1
1415,quality,Data Analyst,1
1416,quality assurance,Data Analyst,1
1417,quality control,Data Analyst,3
1418,quality control,Data Scientist,1
1419,quantitative analysis,Data Analyst,3
1420,quantitative analysis,Data Scientist,9
1421,quantitative analytics,Data Scientist,1
1422,quantitative field,Data Analyst,1
1423,quantitative method,Data Analyst,1
1424,quantitative research,Data Scientist,2
1425,quantitative science,Data Scientist,1
1426,quantitative skill,Data Analyst,1
1427,query language,Data Analyst,1
1428,query performance,Data Analyst,1
1429,quick learner,Data Analyst,1
1430,r,Business Intelligence,4
1431,r,Data Analyst,61
1432,r,Data Scientist,97
1433,r,Intern,5
1434,r markdown,Data Scientist,1
1435,r programming,Data Analyst,2
1436,r programming,Data Scientist,1
1437,rag,Data Scientist,1
1438,rag architecture,Data Scientist,1
1439,rag technique,Data Scientist,1
1440,random forest,Data Scientist,1
1441,rd,Data Scientist,2
1442,react,Data Analyst,1
1443,realtime processing,Data Scientist,1
1444,realworld evidence,Data Scientist,1
1445,recommendation,Data Analyst,1
1446,recommendation,Data Scientist,1
1447,recommendation algorithm,Data Scientist,3
1448,recommendation engine,Data Scientist,1
1449,recommendation system,Data Scientist,1
1450,record management,Data Scientist,1
1451,recruiting process,Data Analyst,1
1452,redcap,Data Scientist,1
1453,redshift,Intern,1
1454,regex,Data Scientist,1
1455,regression,Data Scientist,6
1456,regression analysis,Data Scientist,2
1457,regression model,Data Scientist,1
1458,regulation,Data Scientist,1
1459,regulatory compliance,Data Scientist,1
1460,regulatory framework,Data Scientist,1
1461,regulatory knowledge,Data Scientist,1
1462,reinforcement learning,Data Scientist,8
1463,relational database,Business Intelligence,1
1464,relational database,Data Analyst,9
1465,relational database,Data Scientist,1
1466,relational database modeling,Data Analyst,1
1467,relationship building,Data Analyst,4
1468,relationshipbuilding,Data Scientist,1
1469,reliable,Data Analyst,1
1470,report auditing,Business Intelligence,1
1471,report automation,Data Analyst,1
1472,report creation,Data Analyst,1
1473,report design,Business Intelligence,1
1474,report generation,Business Intelligence,1
1475,report generation,Data Analyst,1
1476,report preparation,Business Intelligence,1
1477,report presentation,Data Analyst,1
1478,report writing,Data Analyst,2
1479,report writing,Data Scientist,2
1480,reporting,Business Intelligence,6
1481,reporting,Data Analyst,27
1482,reporting,Data Scientist,2
1483,reporting package,Data Analyst,1
1484,reporting tool,Data Analyst,4
1485,requirement gathering,Data Analyst,5
1486,research,Data Analyst,1
1487,research,Data Scientist,1
1488,research,Intern,1
1489,research design,Data Analyst,1
1490,research design,Data Scientist,1
1491,research objective,Data Scientist,1
1492,research skill,Intern,1
1493,researching,Data Analyst,1
1494,rest api,Data Analyst,1
1495,rest api,Data Scientist,1
1496,rest apis,Data Scientist,2
1497,result analysis,Data Analyst,1
1498,resultfocused,Data Analyst,1
1499,retail,Data Scientist,1
1500,retail buying principle,Intern,1
1501,return investment,Data Analyst,1
1502,revenue management,Data Scientist,1
1503,rfp management,Data Analyst,1
1504,risk,Data Analyst,2
1505,risk,Data Scientist,1
1506,risk analysis,Data Analyst,1
1507,risk analysis,Data Scientist,1
1508,risk assessment,Data Scientist,1
1509,risk management,Data Analyst,1
1510,risk reporting,Data Analyst,1
1511,rnaseq,Data Scientist,1
1512,rnn,Data Scientist,1
1513,roadmaps,Data Analyst,2
1514,roc curve,Data Scientist,1
1515,route planning,Business Intelligence,1
1516,rpython,Data Scientist,2
1517,sa,Business Intelligence,2
1518,sa,Data Analyst,9
1519,sa,Data Scientist,18
1520,sa macro,Data Analyst,1
1521,sa programming,Data Analyst,3
1522,saas,Data Analyst,1
1523,safe,Data Analyst,1
1524,safety minded,Data Scientist,1
1525,sagemaker,Data Scientist,1
1526,sale,Business Intelligence,1
1527,sale,Data Analyst,1
1528,sale analytics,Data Analyst,1
1529,sale operation,Data Analyst,1
1530,salesforce,Data Analyst,2
1531,salesforcecom,Data Analyst,1
1532,sampling methodology,Data Scientist,1
1533,sap,Business Intelligence,1
1534,sap,Data Analyst,2
1535,sap b,Data Analyst,1
1536,sap erp,Business Intelligence,1
1537,satellite data,Data Scientist,2
1538,scada,Data Analyst,1
1539,scala,Data Analyst,1
1540,scala,Data Scientist,12
1541,scalable coding,Data Scientist,1
1542,schema design,Data Analyst,1
1543,scientific method,Data Scientist,1
1544,scikitlearn,Data Scientist,6
1545,scripting,Data Analyst,4
1546,scripting,Data Scientist,3
1547,scripting,Intern,2
1548,scripting language,Data Analyst,3
1549,scripting language,Data Scientist,3
1550,scrum,Business Intelligence,1
1551,scrum,Data Analyst,4
1552,scrum master,Data Analyst,1
1553,sdlc,Data Analyst,8
1554,sdlc,Data Scientist,1
1555,seaborn,Data Scientist,1
1556,search ranking algorithm,Data Scientist,1
1557,security concept,Intern,1
1558,segmentation modeling,Data Scientist,1
1559,selfmotivation,Data Analyst,1
1560,selfstarter,Data Analyst,2
1561,selfstarter,Data Scientist,2
1562,semantic model,Data Scientist,1
1563,servicenow,Data Analyst,1
1564,sharepoint,Data Analyst,5
1565,shell,Data Analyst,1
1566,shiny,Data Scientist,1
1567,sigma computing,Data Analyst,1
1568,simulation,Data Scientist,4
1569,simulation tool,Data Scientist,1
1570,six sigma,Data Analyst,2
1571,sklearn,Data Scientist,1
1572,sme input,Data Scientist,1
1573,snowflake,Business Intelligence,1
1574,snowflake,Data Analyst,6
1575,snowflake,Data Scientist,2
1576,snowpark,Data Scientist,1
1577,soapui,Business Intelligence,1
1578,social analytics,Data Analyst,2
1579,social medium analytics,Data Analyst,1
1580,social skill,Data Analyst,1
1581,soft skill,Data Scientist,1
1582,software architecture,Data Scientist,1
1583,software configuration,Data Analyst,1
1584,software design,Data Scientist,1
1585,software development,Data Analyst,2
1586,software development,Data Scientist,5
1587,software development life cycle,Data Analyst,1
1588,software engineering,Data Analyst,1
1589,software engineering,Data Scientist,4
1590,software language,Data Scientist,1
1591,software solution,Data Analyst,1
1592,solutionoriented,Data Analyst,1
1593,spark,Data Analyst,4
1594,spark,Data Scientist,18
1595,sparkml,Data Scientist,1
1596,sparksql,Data Scientist,4
1597,spatial analysis,Data Analyst,1
1598,spatial analysis,Data Scientist,1
1599,spatiotemporal analysis,Data Scientist,1
1600,spotfire,Data Analyst,1
1601,spotfire,Data Scientist,1
1602,spreadsheet,Data Scientist,1
1603,spss,Data Analyst,2
1604,spss,Data Scientist,1
1605,sql,Business Intelligence,34
1606,sql,Data Analyst,195
1607,sql,Data Scientist,199
1608,sql,Intern,12
1609,sql code development,Data Analyst,1
1610,sql data analysis,Data Analyst,1
1611,sql database design,Data Analyst,1
1612,sql developer,Data Analyst,1
1613,sql proficiency,Data Analyst,1
1614,sql query,Business Intelligence,1
1615,sql query,Data Analyst,1
1616,sql querying,Data Analyst,1
1617,sql reporting,Data Analyst,1
1618,sql server,Data Analyst,4
1619,sql server,Data Scientist,1
1620,sqlalchemy,Data Analyst,1
1621,ssis,Business Intelligence,1
1622,ssrs,Business Intelligence,1
1623,ssrs,Data Analyst,1
1624,stakeholder alignment,Data Analyst,1
1625,stakeholder collaboration,Data Analyst,1
1626,stakeholder collaboration,Data Scientist,1
1627,stakeholder communication,Data Scientist,1
1628,stakeholder engagement,Data Analyst,2
1629,stakeholder engagement,Data Scientist,1
1630,stakeholder management,Business Intelligence,1
1631,stakeholder management,Data Analyst,3
1632,stakeholder management,Data Scientist,5
1633,standard,Data Analyst,1
1634,startup,Data Scientist,1
1635,statistic,Business Intelligence,3
1636,statistic,Data Analyst,11
1637,statistic,Data Scientist,45
1638,statistic,Intern,3
1639,statistical,Data Scientist,1
1640,statistical analysis,Business Intelligence,4
1641,statistical analysis,Data Analyst,31
1642,statistical analysis,Data Scientist,49
1643,statistical analysis,Intern,4
1644,statistical analysis plan,Data Scientist,1
1645,statistical analytical technique,Data Scientist,1
1646,statistical analytics,Data Analyst,1
1647,statistical background,Data Analyst,1
1648,statistical coding,Data Analyst,1
1649,statistical concept,Data Analyst,2
1650,statistical concept,Data Scientist,1
1651,statistical inference,Data Scientist,4
1652,statistical language,Data Scientist,1
1653,statistical method,Data Analyst,5
1654,statistical method,Data Scientist,12
1655,statistical methodology,Data Scientist,1
1656,statistical model,Data Analyst,1
1657,statistical model,Data Scientist,6
1658,statistical modeling,Data Analyst,5
1659,statistical modeling,Data Scientist,42
1660,statistical modeling,Intern,1
1661,statistical modelling,Data Analyst,1
1662,statistical package,Data Scientist,1
1663,statistical program,Data Scientist,1
1664,statistical programming,Data Scientist,2
1665,statistical skill,Data Analyst,1
1666,statistical skill,Data Scientist,1
1667,statistical software,Data Analyst,4
1668,statistical software,Data Scientist,3
1669,statistical software,Intern,1
1670,statistical table,Data Analyst,1
1671,statistical technique,Data Analyst,4
1672,statistical technique,Data Scientist,10
1673,statistical technique,Intern,1
1674,statistical testing,Data Analyst,1
1675,statistical testing,Data Scientist,1
1676,statistical theory,Data Analyst,1
1677,statistical tool,Data Analyst,3
1678,stochastic data modeling,Data Scientist,1
1679,stoploss,Data Analyst,1
1680,storytelling,Data Analyst,3
1681,storytelling data,Data Analyst,1
1682,storytelling data,Data Scientist,1
1683,strategic mindset,Data Analyst,1
1684,strategic recommendation,Data Scientist,1
1685,strategic thinking,Data Analyst,2
