,companyName,applyUrl,experienceLevel,location,min_years_of_experience,required_degree,remote_work,avg_hourly_salary,avg_yearly_salary,simplified_job_title
26,ATC,https://www.linkedin.com/jobs/view/data-analyst-at-atc-4102118913?trk=public_jobs_topcard-title,Entry level,"California, United States",,MS,,,,Data Analyst
221,SGS,https://www.linkedin.com/jobs/view/senior-data-analyst-aeropsace-at-sgs-4101167364?trk=public_jobs_topcard-title,Mid-Senior level,"California, United States",3.0,BS/MS,,,,Data Analyst
782,ScrollTab,https://scrolltabus.oorwin.com/careers/index.html#/job/8bd7954c40c1e59a900f71ea3a266732609915b1?source=linkedin_free&postedby=1,Entry level,"California, United States",3.0,BS/MS,,,,Data Scientist
863,Eliassen Group,https://www.linkedin.com/jobs/view/data-scientist-at-eliassen-group-4096161725?trk=public_jobs_topcard-title,Mid-Senior level,"California, United States",,BS/MS,True,,,Data Scientist
883,Fractal,https://fractal.wd1.myworkdayjobs.com/Careers/job/California/Data-Scientist_SR-27895-1?source=LinkedIn,Entry level,"California, United States",3.0,BS/MS,,,150000.0,Data Scientist
893,MathCo,https://www.linkedin.com/jobs/view/senior-data-scientist-at-mathco-4101826826?trk=public_jobs_topcard-title,Mid-Senior level,"California, United States",4.0,BS,,,,Data Scientist
940,Inclusively,https://app.inclusively.com/job/oORWqXvx90nMz4Ak?utm_source=linkedin&utm_medium=paidmedia&utm_campaign=candidate_job_search_campaign&utm_term=Lyft_Data_Scientist_Machine_Learning,Mid-Senior level,"California, United States",4.0,M.S./PHD,True,,193500.0,Data Scientist
1361,Plantible,https://www.linkedin.com/jobs/view/bioprocess-modeler-data-scientist-at-plantible-4102130532?trk=public_jobs_topcard-title,Entry level,"California, United States",2.0,PhD/MS,,,125.0,Data Scientist
