,location,count
117,"Joint Base Lewis-McChord, WA",1
116,"Johnston, RI",1
113,"Jackson, MI",1
82,"Fort Wayne, IN",1
84,"Fraser, MI",1
85,"Fremont, CA",1
86,"Frisco, TX",1
87,"Fulton, MD",1
88,"Glenview, IL",1
89,"Golden, CO",1
90,Greater Bend Area,1
92,Greater Philadelphia,1
93,Greater Savannah Area,1
95,"Green Bay, Wisconsin Metropolitan Area",1
96,"Harrisburg, PA",1
98,"Herndon, VA",1
101,"Holyoke, MA",1
102,"Houston County, GA",1
104,"Hunt Valley, MD",1
105,"Huntington, WV",1
108,"Indiana, PA",1
110,"Ipswich, MA",1
249,"Wisconsin, United States",1
